adaptive_condition_holds,alpha,audit_mode,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,VREX,-14.353759699218829,False,3,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,VREX,-14.347621162223467,False,3,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-13.59707336451435,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-13.44699569615728,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.346671849080916,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.161654927586426,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,4.336808689942018e-19,cmnist_erm_source_only,0.001,IRMV1,-13.597006979724844,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,3.469446951953614e-18,cmnist_erm_source_only,0.01,IRMV1,-13.596415473109474,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,3.469446951953614e-18,cmnist_erm_source_only,0.1,IRMV1,-13.591005442212602,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,8.375985885340411e-18,cmnist_erm_source_only,0.001,VREX,-13.597001315776158,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,3.469446951953614e-18,cmnist_erm_source_only,0.01,VREX,-13.596353686830712,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,4.110285241661277e-18,cmnist_erm_source_only,0.1,VREX,-13.589957161704346,False,4,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-14.275359682270437,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-14.20374515165375,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-14.058674785193256,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.837149763684451,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.0842021724855044e-19,cmnist_erm_source_only,0.001,IRMV1,-14.275295255882293,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.0842021724855044e-19,cmnist_erm_source_only,0.01,IRMV1,-14.274721513108235,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,4.4702800766818725e-19,cmnist_erm_source_only,0.1,IRMV1,-14.269500170229296,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,VREX,-14.275289188874943,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.5332934166833742e-19,cmnist_erm_source_only,0.01,VREX,-14.274655530161501,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,4.606927402636283e-19,cmnist_erm_source_only,0.1,VREX,-14.268395968518105,False,5,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-13.890417252583822,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-13.791524632191512,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.629712096805092,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.40738803200634,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,IRMV1,-13.89035299049723,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,IRMV1,-13.889780670837641,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,IRMV1,-13.8845692106367,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,VREX,-13.890347497937801,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,VREX,-13.889720495801301,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,VREX,-13.883528274662035,False,6,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-13.73766571803531,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-13.620460881384496,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.506886335322394,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.322280157183643,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_erm_source_only,0.001,IRMV1,-13.737600132015643,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,6.133173666733497e-19,cmnist_erm_source_only,0.01,IRMV1,-13.737015728713594,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,6.133173666733497e-19,cmnist_erm_source_only,0.1,IRMV1,-13.731669844130828,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,4.336808689942018e-19,cmnist_erm_source_only,0.001,VREX,-13.73759478221877,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.734723475976807e-18,cmnist_erm_source_only,0.01,VREX,-13.736957163961094,False,7,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-13.929476095833143,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-13.817226667794754,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.624365972918499,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.31370500743544,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.0842021724855044e-19,cmnist_erm_source_only,0.001,IRMV1,-13.9294137526123,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_erm_source_only,0.01,IRMV1,-13.92885818790765,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.0842021724855044e-19,cmnist_erm_source_only,0.1,IRMV1,-13.923770983213931,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.490876393148587e-19,cmnist_erm_source_only,0.001,VREX,-13.929406416567055,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_erm_source_only,0.01,VREX,-13.928780062485657,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,3.5085519315160446e-19,cmnist_erm_source_only,0.1,VREX,-13.922591330845552,False,8,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-13.921716583893422,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-13.82241429772464,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.702108852304642,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.497299188960177,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,8.470329472543003e-22,cmnist_erm_source_only,0.001,IRMV1,-13.921651280742985,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,IRMV1,-13.921069536126259,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,IRMV1,-13.915758758043083,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,VREX,-13.921644397363938,False,9,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,VREX,-13.914586119702886,False,9,source_only_common_projection_erm,inf,False
