E_operator_norm,PiO_operator_norm,R_operator_norm,adaptive_regret,audit_mode,coordinate_audit_passes,decomposition_residual,dim_world,full_minimax_condition,full_observation_recoverable_residual,information_floor,kernel_dimension,kind,lambda,method,seed,setting,slack_ratio,snapshot_passes,spectral_gap_min,static_tax_holds,static_tax_lower_bound,support_compatible,total_excess,total_regret,z0_norm,zero_observation_E_norm
3.755165195867966,1.039566352224563,0.0,7.050632824129051,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.01,IRMV1,1,source_only_common_projection_erm,inf,True,-14.101265648258094,True,8.50531218982014e-10,False,7.050707722570428,7.050707722570428,4.1243938196588694e-05,0.0
3.755242108854089,1.0397485882345532,0.0,7.050921648055452,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.001,VREX,1,source_only_common_projection_erm,inf,True,-14.101843296110907,True,8.410744966300223e-12,False,7.050932672747893,7.050932672747893,4.101400971936351e-06,0.0
3.754330334001396,1.0381482480735742,0.0,7.047498128401516,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.1,VREX,1,source_only_common_projection_erm,inf,True,-14.09499625680301,True,8.388299323441262e-08,False,7.048598734912627,7.048598734912627,0.0004095924638818752,0.0
3.7414750337097025,1.0436514641126244,0.0,6.9993177139365095,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.0,L2,2,source_only_common_projection_erm,inf,True,-13.998635427873019,True,0.0,False,6.999317713936508,6.999317713936508,0.0,0.0
3.726723539866656,0.9980118342712506,0.0,6.94423417129813,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.001,L2,2,source_only_common_projection_erm,inf,True,-13.888468342596257,True,0.0017999838265499502,False,6.96187235930313,6.96187235930313,0.059999730441893655,0.0
3.7138035416407114,0.9336884040852707,0.0,6.8961683729515455,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.01,L2,2,source_only_common_projection_erm,inf,True,-13.79233674590309,True,0.002674862405306605,False,6.924640271640095,6.924640271640095,0.07314181301152721,0.0
3.6824761733296363,0.7395346308544434,0.0,6.78031538357024,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.1,L2,2,source_only_common_projection_erm,inf,True,-13.56063076714048,True,0.003659553307672803,False,6.8602727681718205,6.8602727681718205,0.08555177739442708,0.0
3.741466291404446,1.0436315986773321,0.0,6.999285004857869,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.001,IRMV1,2,source_only_common_projection_erm,inf,True,-13.998570009715742,True,7.948110975557912e-12,False,6.999292323718166,6.999292323718166,3.987006640465479e-06,0.0
3.7413883851251954,1.043453836079741,0.0,6.998993524174859,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.01,IRMV1,2,source_only_common_projection_erm,inf,True,-13.997987048349728,True,7.934143396198377e-10,False,6.9990664160528615,6.9990664160528615,3.9835018253286585e-05,0.0
3.7414654061772423,1.043634161619936,0.0,6.999281692810518,source_only_fast_world_space_no_coordinate_transport,NOT_RUN_REPAIR_HIGH_DIMENSION_COST,0.0,2,False,0.0,0.0,0,cmnist_erm_source_only,0.001,VREX,2,source_only_common_projection_erm,inf,True,-13.998563385621026,True,8.335583259159032e-12,False,6.999292678133191,6.999292678133191,4.083033984467685e-06,0.0
